"Participant","Condition","Trial","Group","PACtype","PACtime","PACstartTime","PACendTime","Event"
"nuP11","comp",2,"e","grab",347.0787,638303035918936313,638303035922407100,"Network Red CubeClone118 was picked up"
"nuP11","comp",2,"e","grab",664.9095,638303036023984426,638303036030633521,"Network Blue CubeClone135 was picked up"
"nuP11","comp",2,"e","grab",261.0001,638303036093528930,638303036096138931,"Network Neutral CubeClone145 was picked up"
"nuP11","comp",2,"e","grab",132.5231,638303036183976575,638303036185301806,"Network Neutral CubeClone158 was picked up"
"nuP11","comp",2,"e","grab",19.9998,638303036285241307,638303036285441305,"Network Neutral CubeClone172 was picked up"
"nuP11","comp",2,"e","grab",150.8938,638303036553179438,638303036554688376,"Network Neutral CubeClone209 was picked up"
"nuP11","comp",2,"e","grab",401.9288,638303036601597237,638303036605616525,"Network Blue CubeClone217 was picked up"
"nuP11","comp",2,"e","grab",224.0107,638303036657294235,638303036659534342,"Network Blue CubeClone221 was picked up"
"nuP11","comp",2,"e","grab",542.263,638303036729576500,638303036734999130,"Network Red CubeClone232 was picked up"
"nuP11","comp",2,"e","grab",237.6799,638303036742889118,638303036745265917,"Network Red CubeClone236 was picked up"
"nuP11","comp",2,"e","grab",425.4684,638303036773574976,638303036777829660,"Network Red CubeClone239 was picked up"
"nuP11","comp",2,"e","grab",41.0005,638303036953103781,638303036953513786,"Network Neutral CubeClone266 was picked up"
"nuP11","comp",2,"e","grab",297.9985,638303037043675284,638303037046655269,"Network Red CubeClone274 was picked up"
"nuP11","comp",2,"e","grab",47.5186,638303037130599655,638303037131074841,"Network Blue CubeClone289 was picked up"
"nuP11","comp",2,"e","grab",318.9987,638303037164181931,638303037167371918,"Network Blue CubeClone295 was picked up"
"nuP11","comp",2,"e","grab",181.5225,638303037457916492,638303037459731717,"Network Neutral CubeClone335 was picked up"
"nuP11","comp",2,"e","grab",325.233,638303037493861234,638303037497113564,"Network Neutral CubeClone341 was picked up"
"nuP11","comp",2,"e","grab",137.8477,638303037677385311,638303037678763788,"Network Neutral CubeClone367 was picked up"
"nuP11","comp",2,"e","grab",117.1532,638303037752751782,638303037753923314,"Network Blue CubeClone377 was picked up"
"nuP11","comp",2,"e","grab",293.9995,638303037782663240,638303037785603235,"Network Red CubeClone378 was picked up"
"nuP11","comp",2,"e","grab",288.3564,638303037877613990,638303037880497554,"Network Red CubeClone394 was picked up"
"nuP11","comp",2,"e","grab",135.6761,638303037982507026,638303037983863787,"Network Neutral CubeClone409 was picked up"
"nuP11","comp",2,"e","place",853.1435,638303035855770974,638303035864302409,"Network Red CubeClone110 was dropped in DropzonePlaceHolderClone4"
"nuP11","comp",2,"e","place",631.6726,638303035903742728,638303035910059454,"Network Gold Cube WholeClone111 was dropped in DropzonePlaceHolderClone2"
"nuP11","comp",2,"e","place",639.9731,638303035925788216,638303035932187947,"Network Red CubeClone118 was dropped in DropzonePlaceHolderClone1"
"nuP11","comp",2,"e","place",729.1363,638303035972907759,638303035980199122,"Network Gold Cube WholeClone129 was dropped in DropzonePlaceHolderClone1"
"nuP11","comp",2,"e","place",681.9994,638303036037790430,638303036044610424,"Network Blue CubeClone135 was dropped in DropzonePlaceHolderClone2"
"nuP11","comp",2,"e","place",485.6107,638303036143312432,638303036148168539,"Network Neutral CubeClone145 was dropped in DropzonePlaceHolderClone1"
"nuP11","comp",2,"e","place",634.365,638303036161888976,638303036168232626,"Network Blue CubeClone HB 1_3 was dropped in DropzonePlaceHolderClone1"
"nuP11","comp",2,"e","place",635.291,638303036301777299,638303036308130209,"Network Neutral CubeClone172 was dropped in DropzonePlaceHolderClone3"
"nuP11","comp",2,"e","place",562.5226,638303036314387601,638303036320012827,"Network Blue CubeClone HB 0_1 was dropped in DropzonePlaceHolderClone2"
"nuP11","comp",2,"e","place",658.1069,638303036446556770,638303036453137839,"Network Blue CubeClone HB 1_3 was dropped in DropzonePlaceHolderClone3"
"nuP11","comp",2,"e","place",614.9571,638303036478988290,638303036485137861,"Network Neutral CubeClone198 was dropped in DropzonePlaceHolderClone1"
"nuP11","comp",2,"e","place",992.8325,638303036526192009,638303036536120334,"Network Gold Cube WholeClone178 was dropped in DropzonePlaceHolderClone2"
"nuP11","comp",2,"e","place",668.3721,638303036572765565,638303036579449286,"Network Neutral CubeClone209 was dropped in DropzonePlaceHolderClone2"
"nuP11","comp",2,"e","place",995.2635,638303036613202262,638303036623154897,"Network Blue CubeClone217 was dropped in DropzonePlaceHolderClone1"
"nuP11","comp",2,"e","place",994.0564,638303036689862316,638303036699802880,"Network Blue CubeClone221 was dropped in DropzonePlaceHolderClone2"
"nuP11","comp",2,"e","place",991.4278,638303036750417216,638303036760331494,"Network Red CubeClone236 was dropped in DropzonePlaceHolderClone1"
"nuP11","comp",2,"e","place",984.9944,638303036788112059,638303036797962003,"Network Red CubeClone239 was dropped in DropzonePlaceHolderClone2"
