"Time","Participant","Age","Sex","Handedness","Task","Group","Condition","Trial","Event","CurrentGazeTarget","CurrentGazeArea","EyePos_X","EyePos_Y","EyePos_Z","eyeAngleX","eyeAngleY","eyeAngleZ","HeadPos_X","HeadPos_Y","HeadPos_Z","HeadRot_X","HeadRot_Y","HeadRot_Z","HandPos_X","HandPos_Y","HandPos_Z","HandRot_X","HandRot_Y","HandRot_Z","RayCast_StartPos_X","RayCast_StartPos_Y","RayCast_StartPos_Z","RayCast_EndPos_X","RayCast_EndPos_Y","RayCast_EndPos_Z","Partner_HeadPos_X","Partner_HeadPos_Y","Partner_HeadPos_Z","Partner_HeadRot_X","Partner_HeadRot_Y","Partner_HeadRot_Z","Partner_HandPos_X","Partner_HandPos_Y","Partner_HandPos_Z","Partner_HandRot_X","Partner_HandRot_Y","Partner_HandRot_Z","Partner_RayCast_StartPos_X","Partner_RayCast_StartPos_Y","Partner_RayCast_StartPos_Z","Partner_RayCast_EndPos_X","Partner_RayCast_EndPos_Y","Partner_RayCast_EndPos_Z","RightPupil","LeftPupil"
638338370592186837,"nuP15",21,"m","Right","Loom","c","comp",2,"playing","none","build_wall",13.42504,3.955719,9.86,2.592897,-8.238459,23.46041,12.36181,7.391653,0.2224331,-0.05445931,0.02703488,0.02688975,12.43794,6.778239,0.4698921,-0.01903882,-0.01412115,0.09125089,12.43688,6.778014,0.4698764,12.63797,6.362989,10.45924,-10.21313,5.110456,-0.5417023,0.2166425,-0.8027018,-0.2830703,-10.05367,4.855284,0.2799368,-0.8011171,-0.3229232,-0.9021683,-10.05367,4.855284,-0.9021683,-5.243467,12.33686,-5.472497,4.252182,3.789154
638338370592302603,"nuP15",21,"m","Right","Loom","c","comp",2,"playing","none","build_wall",13.4293,3.933462,9.86,2.600796,-8.286266,23.44247,12.362,7.391654,0.2224211,-0.05437296,0.02602175,0.02687853,12.43849,6.778411,0.4699447,-0.01871868,-0.01623425,0.09126817,12.43757,6.778233,0.4699077,12.68411,6.373383,10.45867,-10.21296,5.110529,-0.5406265,0.2168949,-0.8005627,-0.2834095,-10.05027,4.858061,0.2805341,-0.7956661,-0.3238481,-0.8965988,-10.05027,4.858061,-0.8965988,-5.145665,12.37736,-5.301711,4.245438,3.82547
638338370592412603,"nuP15",21,"m","Right","Loom","c","comp",2,"playing","none","build_wall",13.41811,3.964317,9.86,2.576076,-8.220423,23.46854,12.36215,7.391688,0.2223544,-0.05420497,0.02525932,0.02687661,12.43887,6.778581,0.4698865,-0.01861098,-0.0174337,0.09107404,12.43826,6.778337,0.4700167,12.7274,6.376031,10.45774,-10.2128,5.110601,-0.5395584,0.217144,-0.7984108,-0.2837445,-10.04686,4.860838,0.2810992,-0.7901224,-0.3247359,-0.8910217,-10.04686,4.860838,-0.8910217,-5.050985,12.41616,-5.128761,4.243683,3.778687
638338370592522610,"nuP15",21,"m","Right","Loom","c","comp",2,"playing","none","build_wall",13.41465,3.939376,9.86,2.565239,-8.274698,23.45055,12.36234,7.391659,0.2223386,-0.05409712,0.02444744,0.02679192,12.4392,6.778736,0.4699405,-0.01918456,-0.01752293,0.09140545,12.43843,6.778564,0.4699113,12.75178,6.376264,10.4569,-10.21264,5.110676,-0.5384865,0.2173898,-0.7962465,-0.2840751,-10.04345,4.863617,0.2816319,-0.7844871,-0.3255863,-0.8854485,-10.04345,4.863617,-0.8854485,-4.959473,12.45324,-4.953722,4.243652,3.835281
638338370592642609,"nuP15",21,"m","Right","Loom","c","comp",2,"playing","none","build_wall",13.37849,3.954684,9.86,2.479067,-8.244363,23.47052,12.36247,7.391642,0.2222452,-0.05411143,0.02370304,0.02673432,12.43949,6.778794,0.469757,-0.01963221,-0.01703236,0.0917413,12.439,6.778668,0.4698304,12.75286,6.364704,10.45633,-10.21247,5.110748,-0.5374146,0.2176323,-0.7940698,-0.2844013,-10.04004,4.866394,0.2821323,-0.7787616,-0.3263992,-0.8798752,-10.04004,4.866394,-0.8798752,-4.871173,12.48858,-4.776687,4.243484,3.847565
638338370592762606,"nuP15",21,"m","Right","Loom","c","comp",2,"playing","none","build_wall",13.42448,3.943842,9.86,2.588449,-8.264033,23.45185,12.36267,7.391613,0.2221641,-0.054186,0.02303758,0.0268421,12.43977,6.779108,0.4697385,-0.01977274,-0.01595002,0.09346046,12.43917,6.778921,0.4697251,12.74235,6.356773,10.45621,-10.2123,5.110674,-0.5368805,0.2171509,-0.7934762,-0.2843682,-10.03848,4.867981,0.2837183,-0.7747663,-0.329227,-0.8768234,-10.03848,4.867981,-0.8768234,-4.787529,12.52112,-4.599319,4.244217,3.919601
638338370592872612,"nuP15",21,"m","Right","Loom","c","comp",2,"playing","none","build_wall",13.43056,3.941469,9.86,2.602877,-8.268604,23.44875,12.36269,7.391569,0.2221755,-0.05436178,0.022706,0.02692445,12.44001,6.779334,0.4697237,-0.01962946,-0.01565212,0.09530865,12.43947,6.77913,0.4697074,12.72011,6.355713,10.4568,-10.21213,5.1106,-0.5363541,0.2166689,-0.7928811,-0.2843344,-10.03691,4.869568,0.285293,-0.7707389,-0.3320417,-0.8737717,-10.03691,4.869568,-0.8737717,-4.790203,12.57634,-4.490081,4.254929,3.830704
638338370592932620,"nuP15",21,"m","Right","Loom","c","comp",2,"Network Blue CubeClone140 was picked up by P2","none","build_wall",13.43056,3.941469,9.86,2.602877,-8.268604,23.44875,12.36264,7.391579,0.222153,-0.05444001,0.02311116,0.02696538,12.43969,6.77939,0.4698628,-0.01909882,-0.01510611,0.09554145,12.43969,6.77939,0.4698628,6.358856,NA,10.45725,-10.21196,5.110525,-0.53582,0.2161864,-0.7922843,-0.2843,-10.03535,4.871155,0.2868562,-0.7666796,-0.3348431,-0.8707199,-10.03535,4.871155,-0.8707199,-4.794089,12.63072,-4.380462,4.254929,3.830704
638338370593002608,"nuP15",21,"m","Right","Loom","c","comp",2,"playing","none","build_wall",13.42607,3.924765,9.86,2.590491,-8.305136,23.43736,12.36279,7.391568,0.2221228,-0.05443062,0.02257943,0.02709728,12.44015,6.77961,0.4699048,-0.01895704,-0.01527715,0.09641437,12.43969,6.77939,0.4698628,12.7139,6.358856,10.45725,-10.21196,5.110525,-0.53582,0.2161864,-0.7922843,-0.2843,-10.03535,4.871155,0.2868562,-0.7666796,-0.3348431,-0.8707199,-10.03535,4.871155,-0.8707199,-4.794089,12.63072,-4.380462,4.265991,3.889206
638338370593092623,"nuP15",21,"m","Right","Loom","c","comp",2,"playing","none","build_wall",13.37492,3.920235,9.86,2.466866,-8.319059,23.44551,12.36287,7.391586,0.2220855,-0.05431682,0.02252194,0.02725065,12.44016,6.779789,0.470005,-0.01776092,-0.01602587,0.09709655,12.43984,6.779575,0.4699285,12.70742,6.372866,10.45807,-10.21179,5.110451,-0.5352859,0.2157037,-0.7916861,-0.2842651,-10.03378,4.872742,0.2884077,-0.7625889,-0.337631,-0.867672,-10.03378,4.872742,-0.867672,-4.799185,12.68426,-4.270487,4.266724,3.787735
638338370593209122,"nuP15",21,"m","Right","Loom","c","comp",2,"playing","none","build_wall",13.32497,3.92513,9.86,2.346663,-8.312538,23.4602,12.363,7.391648,0.2220912,-0.05410909,0.02224487,0.02766624,12.44047,6.779919,0.4699059,-0.01676627,-0.01701081,0.0971185,12.44019,6.779707,0.4698423,12.7246,6.395177,10.4584,-10.21162,5.110378,-0.5347595,0.2152207,-0.7910866,-0.2842296,-10.03222,4.874329,0.2899476,-0.7584668,-0.3404054,-0.8646202,-10.03222,4.874329,-0.8646202,-4.805493,12.73694,-4.160171,4.267426,3.916473
638338370593329113,"nuP15",21,"m","Right","Loom","c","comp",2,"playing","none","build_wall",13.33189,3.958346,9.86,2.365539,-8.24008,23.48372,12.36317,7.391726,0.2219607,-0.0538458,0.02201471,0.02800827,12.44061,6.780028,0.4700019,-0.01595644,-0.01861989,0.09587868,12.44032,6.779832,0.4699413,12.74632,6.413175,10.45853,-10.21145,5.110304,-0.5342255,0.2147365,-0.7904844,-0.2841935,-10.03065,4.875916,0.2914757,-0.7543137,-0.3431659,-0.8615685,-10.03065,4.875916,-0.8615685,-4.813006,12.78876,-4.049534,4.267197,3.859192
