"Participant","Condition","Trial","Group","PACtype","PACtime","PACstartTime","PACendTime","Event","cubeColor"
"P6","comp",2,"e","grab",308.0035,638248556774430794,638248556777510829,"Network Neutral CubeClone3 was picked up","White"
"P6","comp",2,"e","grab",403.5805,638248556801605660,638248556805641465,"Network Gold Cube WholeClone was picked up","Gold"
"P6","comp",2,"e","grab",519.7827,638248556825704191,638248556830902018,"Network Gold Cube WholeClone was picked up","Gold"
"P6","comp",2,"e","grab",1092.3152,638248556836259553,638248556847182705,"Network Red CubeClone9 was picked up","Red"
"P6","comp",2,"e","grab",174.004,638248556879783995,638248556881524035,"Network Blue CubeClone17 was picked up","Blue"
"P6","comp",2,"e","grab",192.0016,638248556903574286,638248556905494302,"Network Gold Cube WholeClone was picked up","Gold"
"P6","comp",2,"e","grab",191.9122,638248556939314708,638248556941233830,"Network Neutral CubeClone26 was picked up","White"
"P6","comp",2,"e","grab",310.9812,638248556980186150,638248556983295962,"Network Blue CubeClone29 was picked up","Blue"
"P6","comp",2,"e","grab",202.0016,638248557020389122,638248557022409138,"Network Red CubeClone33 was picked up","Red"
"P6","comp",2,"e","grab",315.835,638248557056074279,638248557059232629,"Network Red CubeClone38 was picked up","Red"
"P6","comp",2,"e","grab",763.2207,638248557124345635,638248557131977842,"Network Red CubeClone49 was picked up","Red"
"P6","comp",2,"e","grab",451.0558,638248557161555374,638248557166065932,"Network Neutral CubeClone55 was picked up","White"
"P6","comp",2,"e","grab",86.0002,638248557227423519,638248557228283521,"Network Blue CubeClone62 was picked up","Blue"
"P6","comp",2,"e","grab",151.0016,638248557256293663,638248557257803679,"Network Red CubeClone66 was picked up","Red"
"P6","comp",2,"e","grab",687.0037,638248557294008875,638248557300878912,"Network Blue CubeClone72 was picked up","Blue"
"P6","comp",2,"e","grab",268.0004,638248557334830521,638248557337510525,"Network Gold Cube WholeClone was picked up","Gold"
"P6","comp",2,"e","grab",405.0015,638248557368690698,638248557372740713,"Network Gold Cube WholeClone was picked up","Gold"
"P6","comp",2,"e","grab",649.0037,638248557388390784,638248557394880821,"Network Gold Cube WholeClone was picked up","Gold"
"P6","comp",2,"e","grab",116.9997,638248557416359575,638248557417529572,"Network Gold Cube WholeClone was picked up","Gold"
"P6","comp",2,"e","grab",198.0014,638248557439869684,638248557441849698,"Network Red CubeClone93 was picked up","Red"
"P6","comp",2,"e","grab",582.0738,638248557459478456,638248557465299194,"Network Red CubeClone95 was picked up","Red"
"P6","comp",2,"e","grab",30.5195,638248557508549842,638248557508855037,"Network Neutral CubeClone104 was picked up","White"
"P6","comp",2,"e","grab",205.0384,638248557541287621,638248557543338005,"Network Neutral CubeClone108 was picked up","White"
"P6","comp",2,"e","grab",103.0001,638248557572268147,638248557573298148,"Network Neutral CubeClone113 was picked up","White"
"P6","comp",2,"e","grab",239.07,638248557609475662,638248557611866362,"Network Blue CubeClone116 was picked up","Blue"
"P6","comp",2,"e","grab",129.0004,638248557632569440,638248557633859444,"Network Blue CubeClone119 was picked up","Blue"
"P6","comp",2,"e","grab",158.0009,638248557664689596,638248557666269605,"Network Red CubeClone122 was picked up","Red"
"P6","comp",2,"e","grab",122.0004,638248557720408312,638248557721628316,"Network Blue CubeClone132 was picked up","Blue"
"P6","comp",2,"e","grab",51.9991,638248557749298318,638248557749818309,"Network Red CubeClone135 was picked up","Red"
"P6","comp",2,"e","grab",412.9092,638248557772669820,638248557776798912,"Network Gold Cube WholeClone was picked up","Gold"
"P6","comp",2,"e","grab",239.0262,638248557794620337,638248557797010599,"Network Gold Cube WholeClone was picked up","Gold"
"P6","comp",2,"e","grab",205.0013,638248557844935459,638248557846985472,"Network Neutral CubeClone151 was picked up","White"
"P6","comp",2,"e","grab",17.0019,638248557874735601,638248557874905620,"Network Blue CubeClone152 was picked up","Blue"
"P6","comp",2,"e","grab",374.0003,638248557905555762,638248557909295765,"Network Gold Cube WholeClone was picked up","Gold"
"P6","comp",2,"e","grab",173.0018,638248557920465834,638248557922195852,"Network Red CubeClone158 was picked up","Red"
"P6","comp",2,"e","grab",87.8504,638248557972990281,638248557973868785,"Network Neutral CubeClone169 was picked up","White"
"P6","comp",2,"e","grab",210.0004,638248558006948120,638248558009048124,"Network Blue CubeClone171 was picked up","Blue"
"P6","comp",2,"e","grab",197.0005,638248558037050553,638248558039020558,"Network Blue CubeClone174 was picked up","Blue"
"P6","comp",2,"e","grab",368.0024,638248558086400786,638248558090080810,"Network Neutral CubeClone186 was picked up","White"
"P6","comp",2,"e","grab",55.9997,638248558106240900,638248558106800897,"Network Neutral CubeClone187 was picked up","White"
"P6","comp",2,"e","grab",340.0022,638248558146337689,638248558149737711,"Network Blue CubeClone192 was picked up","Blue"
"P6","comp",2,"e","grab",345.002,638248558185677880,638248558189127900,"Network Blue CubeClone199 was picked up","Blue"
"P6","comp",2,"e","grab",407.0011,638248558217118050,638248558221188061,"Network Blue CubeClone201 was picked up","Blue"
"P6","comp",2,"e","grab",151.0028,638248558258877332,638248558260387360,"Network Red CubeClone208 was picked up","Red"
"P6","comp",2,"e","grab",596.0864,638248558280720814,638248558286681678,"Network Neutral CubeClone212 was picked up","White"
"P6","comp",2,"e","grab",62.0016,638248558301153518,638248558301773534,"Network Red CubeClone211 was picked up","Red"
"P6","comp",2,"e","grab",169.0011,638248558366673299,638248558368363310,"Network Red CubeClone221 was picked up","Red"
"P6","comp",2,"e","grab",709.6111,638248558402213152,638248558409309263,"Network Neutral CubeClone230 was picked up","White"
"P6","comp",2,"e","grab",306.3157,638248558438541961,638248558441605118,"Network Gold Cube WholeClone was picked up","Gold"
"P6","comp",2,"e","grab",40.6954,638248558462979275,638248558463386229,"Network Gold Cube WholeClone was picked up","Gold"
"P6","comp",2,"e","grab",237.0015,638248558482330451,638248558484700466,"Network Gold Cube WholeClone was picked up","Gold"
"P6","comp",2,"e","grab",210.0016,638248558517953571,638248558520053587,"Network Neutral CubeClone244 was picked up","White"
"P6","comp",2,"e","grab",173.8026,638248558548819639,638248558550557665,"Network Neutral CubeClone249 was picked up","White"
"P6","comp",2,"e","grab",528.6588,638248558577617963,638248558582904551,"Network Red CubeClone252 was picked up","Red"
"P6","comp",2,"e","grab",64.0007,638248558613782813,638248558614422820,"Network Blue CubeClone254 was picked up","Blue"
"P6","comp",2,"e","grab",290.1069,638248558662162141,638248558665063210,"Network Gold Cube WholeClone was picked up","Gold"
"P6","comp",2,"e","grab",134.0009,638248558683598198,638248558684938207,"Network Gold Cube WholeClone was picked up","Gold"
"P6","comp",2,"e","grab",193.0009,638248558706022982,638248558707952991,"Network Neutral CubeClone271 was picked up","White"
"P6","comp",2,"e","grab",225.0458,638248558742774659,638248558745025117,"Network Neutral CubeClone277 was picked up","White"
"P6","comp",2,"e","grab",226.0023,638248558779083168,638248558781343191,"Network Blue CubeClone278 was picked up","Blue"
"P6","comp",2,"e","grab",30.0013,638248558803365006,638248558803665019,"Network Blue CubeClone283 was picked up","Blue"
"P6","comp",2,"e","grab",346.636,638248558848909004,638248558852375364,"Network Neutral CubeClone291 was picked up","White"
"P6","comp",2,"e","grab",326.0009,638248558885710664,638248558888970673,"Network Blue CubeClone295 was picked up","Blue"
"P6","comp",2,"e","grab",223.5199,638248558912381122,638248558914616321,"Network Red CubeClone296 was picked up","Red"
"P6","comp",2,"e","grab",142.0003,638248558938642395,638248558940062398,"Network Red CubeClone301 was picked up","Red"
"P6","comp",2,"e","grab",277.0002,638248558960402503,638248558963172505,"Network Blue CubeClone304 was picked up","Blue"
"P6","comp",2,"e","grab",318.0024,638248559013163374,638248559016343398,"Network Red CubeClone313 was picked up","Red"
"P6","comp",2,"e","grab",144.0018,638248559045000828,638248559046440846,"Network Red CubeClone315 was picked up","Red"
"P6","comp",2,"e","grab",180.001,638248559075928297,638248559077728307,"Network Red CubeClone319 was picked up","Red"
"P6","comp",2,"e","grab",343.0021,638248559128525246,638248559131955267,"Network Blue CubeClone330 was picked up","Blue"
"P6","comp",2,"e","grab",320.0019,638248559155915911,638248559159115930,"Network Blue CubeClone335 was picked up","Blue"
"P6","comp",2,"e","grab",361.0022,638248559186456470,638248559190066492,"Network Red CubeClone334 was picked up","Red"
"P6","comp",2,"e","grab",233.0013,638248559230086697,638248559232416710,"Network Neutral CubeClone344 was picked up","White"
"P6","comp",2,"e","grab",393.0026,638248559249656807,638248559253586833,"Network Gold Cube WholeClone was picked up","Gold"
"P6","comp",2,"e","grab",330.0018,638248559271136900,638248559274436918,"Network Gold Cube WholeClone was picked up","Gold"
"P6","comp",2,"e","grab",274.0017,638248559292037003,638248559294777020,"Network Gold Cube WholeClone was picked up","Gold"
"P6","comp",2,"e","grab",359.2631,638248559361564370,638248559365157001,"Network Neutral CubeClone363 was picked up","White"
"P6","comp",2,"e","grab",128.0017,638248559425325310,638248559426605327,"Network Gold Cube WholeClone was picked up","Gold"
"P6","comp",2,"e","grab",213.0159,638248559443444483,638248559445574642,"Network Gold Cube WholeClone was picked up","Gold"
"P6","comp",2,"e","grab",72.9991,638248559486571095,638248559487301086,"Network Gold Cube WholeClone was picked up","Gold"
"P6","comp",2,"e","grab",45.9993,638248559507831197,638248559508291190,"Network Gold Cube WholeClone was picked up","Gold"
"P6","comp",2,"e","place",903.63,638248556788830982,638248556797867282,"Network Neutral CubeClone3was dropped in DropzonePlaceHolderClone3","White"
"P6","comp",2,"e","place",738.5855,638248556809933788,638248556817319643,"Network Gold Cube WholeClonewas dropped in DropzonePlaceHolderClone2","Gold"
"P6","comp",2,"e","place",761.0677,638248556852917124,638248556860527801,"Network Red CubeClone9was dropped in DropzonePlaceHolderClone1","Red"
"P6","comp",2,"e","place",785.0104,638248556886004070,638248556893854174,"Network Blue CubeClone17was dropped in DropzonePlaceHolderClone4","Blue"
"P6","comp",2,"e","place",751.0082,638248556909994369,638248556917504451,"Network Gold Cube WholeClonewas dropped in DropzonePlaceHolderClone1","Gold"
"P6","comp",2,"e","place",486.0058,638248556952867495,638248556957727553,"Network Neutral CubeClone26was dropped in DropzonePlaceHolderClone2","White"
"P6","comp",2,"e","place",500.0064,638248556992038164,638248556997038228,"Network Blue CubeClone29was dropped in DropzonePlaceHolderClone3","Blue"
"P6","comp",2,"e","place",414.0042,638248557031608143,638248557035748185,"Network Red CubeClone33was dropped in DropzonePlaceHolderClone5","Red"
"P6","comp",2,"e","place",552.0067,638248557069810075,638248557075330142,"Network Red CubeClone38was dropped in DropzonePlaceHolderClone4","Red"
"P6","comp",2,"e","place",463.4275,638248557148776012,638248557153410287,"Network Red CubeClone49was dropped in DropzonePlaceHolderClone3","Red"
"P6","comp",2,"e","place",1212.3409,638248557171405067,638248557183528476,"Network Neutral CubeClone55was dropped in DropzonePlaceHolderClone1","White"
"P6","comp",2,"e","place",628.0036,638248557235413561,638248557241693597,"Network Blue CubeClone62was dropped in DropzonePlaceHolderClone2","Blue"
"P6","comp",2,"e","place",792.0046,638248557264913706,638248557272833752,"Network Red CubeClone66was dropped in DropzonePlaceHolderClone2","Red"
"P6","comp",2,"e","place",767.0046,638248557306718033,638248557314388079,"Network Blue CubeClone72was dropped in DropzonePlaceHolderClone1","Blue"
"P6","comp",2,"e","place",637.0054,638248557357960626,638248557364330680,"Network Gold Cube WholeClonewas dropped in DropzonePlaceHolderClone5","Gold"
"P6","comp",2,"e","place",663.0033,638248557377460725,638248557384090758,"Network Gold Cube WholeClonewas dropped in DropzonePlaceHolderClone4","Gold"
"P6","comp",2,"e","place",621.9547,638248557399509968,638248557405729515,"Network Gold Cube WholeClonewas dropped in DropzonePlaceHolderClone3","Gold"
"P6","comp",2,"e","place",1063.0059,638248557422039590,638248557432669649,"Network Gold Cube WholeClonewas dropped in DropzonePlaceHolderClone2","Gold"
"P6","comp",2,"e","place",704.0065,638248557470331620,638248557477371685,"Network Red CubeClone95was dropped in DropzonePlaceHolderClone1","Red"
"P6","comp",2,"e","place",1293.5641,638248557516092592,638248557529028233,"Network Neutral CubeClone104was dropped in DropzonePlaceHolderClone5","White"
"P6","comp",2,"e","place",866.0061,638248557549168025,638248557557828086,"Network Neutral CubeClone108was dropped in DropzonePlaceHolderClone4","White"
"P6","comp",2,"e","place",951.0048,638248557578147425,638248557587657473,"Network Neutral CubeClone113was dropped in DropzonePlaceHolderClone3","White"
"P6","comp",2,"e","place",779.211,638248557616137172,638248557623929282,"Network Blue CubeClone116was dropped in DropzonePlaceHolderClone5","Blue"
"P6","comp",2,"e","place",853.0041,638248557640099481,638248557648629522,"Network Blue CubeClone119was dropped in DropzonePlaceHolderClone4","Blue"
"P6","comp",2,"e","place",663.0091,638248557671649638,638248557678279729,"Network Red CubeClone122was dropped in DropzonePlaceHolderClone5","Red"
"P6","comp",2,"e","place",440.0126,638248557729097974,638248557733498100,"Network Blue CubeClone132was dropped in DropzonePlaceHolderClone1","Blue"
"P6","comp",2,"e","place",1174.0216,638248557757409577,638248557769149793,"Network Red CubeClone135was dropped in DropzonePlaceHolderClone2","Red"
"P6","comp",2,"e","place",544.2389,638248557781228455,638248557786670844,"Network Gold Cube WholeClonewas dropped in DropzonePlaceHolderClone3","Gold"
"P6","comp",2,"e","place",628.6826,638248557802304477,638248557808591303,"Network Gold Cube WholeClonewas dropped in DropzonePlaceHolderClone2","Gold"
"P6","comp",2,"e","place",431.0011,638248557856785527,638248557861095538,"Network Neutral CubeClone151was dropped in DropzonePlaceHolderClone4","White"
"P6","comp",2,"e","place",528.0045,638248557889265667,638248557894545712,"Network Blue CubeClone152was dropped in DropzonePlaceHolderClone5","Blue"
"P6","comp",2,"e","place",523.0014,638248557928925885,638248557934155899,"Network Red CubeClone158was dropped in DropzonePlaceHolderClone1","Red"
"P6","comp",2,"e","place",346.9999,638248557952196010,638248557955666009,"Network Gold Cube WholeClonewas dropped in DropzonePlaceHolderClone1","Gold"
"P6","comp",2,"e","place",862.0047,638248557979568821,638248557988188868,"Network Neutral CubeClone169was dropped in DropzonePlaceHolderClone3","White"
"P6","comp",2,"e","place",679.3431,638248558018225116,638248558025018547,"Network Blue CubeClone171was dropped in DropzonePlaceHolderClone4","Blue"
"P6","comp",2,"e","place",411.0044,638248558048670599,638248558052780643,"Network Blue CubeClone174was dropped in DropzonePlaceHolderClone3","Blue"
"P6","comp",2,"e","place",329.0022,638248558098130852,638248558101420874,"Network Neutral CubeClone186was dropped in DropzonePlaceHolderClone2","White"
"P6","comp",2,"e","place",643.0033,638248558112130933,638248558118560966,"Network Neutral CubeClone187was dropped in DropzonePlaceHolderClone1","White"
"P6","comp",2,"e","place",898.0046,638248558192527917,638248558201507963,"Network Blue CubeClone199was dropped in DropzonePlaceHolderClone2","Blue"
"P6","comp",2,"e","place",843.0064,638248558224518074,638248558232948138,"Network Blue CubeClone201was dropped in DropzonePlaceHolderClone1","Blue"
"P6","comp",2,"e","place",719.1336,638248558264827388,638248558272018724,"Network Red CubeClone208was dropped in DropzonePlaceHolderClone5","Red"
"P6","comp",2,"e","place",780.6926,638248558339842105,638248558347649031,"Network Red CubeClone217was dropped in DropzonePlaceHolderClone4","Red"
"P6","comp",2,"e","place",850.0199,638248558374023444,638248558382523643,"Network Red CubeClone221was dropped in DropzonePlaceHolderClone3","Red"
"P6","comp",2,"e","place",812.9109,638248558446085128,638248558454214237,"Network Gold Cube WholeClonewas dropped in DropzonePlaceHolderClone5","Gold"
"P6","comp",2,"e","place",484.1615,638248558469412702,638248558474254317,"Network Gold Cube WholeClonewas dropped in DropzonePlaceHolderClone4","Gold"
"P6","comp",2,"e","place",698.5711,638248558489619129,638248558496604840,"Network Gold Cube WholeClonewas dropped in DropzonePlaceHolderClone3","Gold"
"P6","comp",2,"e","place",372.8711,638248558536964591,638248558540693302,"Network Neutral CubeClone244was dropped in DropzonePlaceHolderClone5","White"
"P6","comp",2,"e","place",562.1,638248558556483263,638248558562104263,"Network Neutral CubeClone249was dropped in DropzonePlaceHolderClone4","White"
"P6","comp",2,"e","place",367.8791,638248558599260277,638248558602939068,"Network Red CubeClone252was dropped in DropzonePlaceHolderClone2","Red"
"P6","comp",2,"e","place",780.9196,638248558620483555,638248558628292751,"Network Blue CubeClone254was dropped in DropzonePlaceHolderClone5","Blue"
"P6","comp",2,"e","place",832.9724,638248558668653226,638248558676982950,"Network Gold Cube WholeClonewas dropped in DropzonePlaceHolderClone2","Gold"
"P6","comp",2,"e","place",796.2667,638248558690830279,638248558698792946,"Network Gold Cube WholeClonewas dropped in DropzonePlaceHolderClone4","Gold"
"P6","comp",2,"e","place",701.0032,638248558712633022,638248558719643054,"Network Neutral CubeClone271was dropped in DropzonePlaceHolderClone3","White"
"P6","comp",2,"e","place",1254.8484,638248558755905175,638248558768453659,"Network Neutral CubeClone277was dropped in DropzonePlaceHolderClone1","White"
"P6","comp",2,"e","place",762.0028,638248558807260347,638248558814880375,"Network Blue CubeClone283was dropped in DropzonePlaceHolderClone1","Blue"
"P6","comp",2,"e","place",373.4236,638248558864673975,638248558868408211,"Network Neutral CubeClone291was dropped in DropzonePlaceHolderClone5","White"
"P6","comp",2,"e","place",760.6831,638248558900665793,638248558908272624,"Network Blue CubeClone295was dropped in DropzonePlaceHolderClone3","Blue"
"P6","comp",2,"e","place",697.1193,638248558919422222,638248558926393415,"Network Red CubeClone296was dropped in DropzonePlaceHolderClone2","Red"
"P6","comp",2,"e","place",399.0042,638248558949042433,638248558953032475,"Network Red CubeClone301was dropped in DropzonePlaceHolderClone4","Red"
"P6","comp",2,"e","place",664.8555,638248559052032138,638248559058680693,"Network Red CubeClone315was dropped in DropzonePlaceHolderClone1","Red"
"P6","comp",2,"e","place",821.0043,638248559083838339,638248559092048382,"Network Red CubeClone319was dropped in DropzonePlaceHolderClone3","Red"
"P6","comp",2,"e","place",494.6833,638248559143238175,638248559148185008,"Network Blue CubeClone330was dropped in DropzonePlaceHolderClone4","Blue"
"P6","comp",2,"e","place",896.0038,638248559165886386,638248559174846424,"Network Blue CubeClone335was dropped in DropzonePlaceHolderClone2","Blue"
"P6","comp",2,"e","place",852.0043,638248559196186526,638248559204706569,"Network Red CubeClone334was dropped in DropzonePlaceHolderClone5","Red"
"P6","comp",2,"e","place",728.0043,638248559238066737,638248559245346780,"Network Neutral CubeClone344was dropped in DropzonePlaceHolderClone3","White"
"P6","comp",2,"e","place",667.0039,638248559259166851,638248559265836890,"Network Gold Cube WholeClonewas dropped in DropzonePlaceHolderClone2","Gold"
"P6","comp",2,"e","place",408.0005,638248559280266957,638248559284346962,"Network Gold Cube WholeClonewas dropped in DropzonePlaceHolderClone1","Gold"
"P6","comp",2,"e","place",499.003,638248559301225817,638248559306215847,"Network Gold Cube WholeClonewas dropped in DropzonePlaceHolderClone4","Gold"
"P6","comp",2,"e","place",874.0741,638248559327015616,638248559335756357,"Network Gold Cube WholeClonewas dropped in DropzonePlaceHolderClone5","Gold"
"P6","comp",2,"e","place",1136.7754,638248559371576202,638248559382943956,"Network Neutral CubeClone363was dropped in DropzonePlaceHolderClone2","White"
"P6","comp",2,"e","place",926.5018,638248559411197373,638248559420462391,"Network Neutral CubeClone370was dropped in DropzonePlaceHolderClone4","White"
"P6","comp",2,"e","place",558.9909,638248559431865353,638248559437455262,"Network Gold Cube WholeClonewas dropped in DropzonePlaceHolderClone3","Gold"
"P6","comp",2,"e","place",807.0102,638248559470654531,638248559478724633,"Network Gold Cube WholeClonewas dropped in DropzonePlaceHolderClone1","Gold"
"P6","comp",2,"e","place",573.004,638248559514411227,638248559520141267,"Network Gold Cube WholeClonewas dropped in DropzonePlaceHolderClone5","Gold"
"P6","solo",1,"e","grab",210.0019,638248530735924482,638248530738024501,"Regular Blue CubeClone106 was picked up","Blue"
"P6","solo",1,"e","grab",164.0006,638248530797034661,638248530798674667,"Regular Neutral CubeClone117 was picked up","White"
"P6","solo",1,"e","grab",174.0003,638248530833134774,638248530834874777,"Regular Red CubeClone120 was picked up","Red"
"P6","solo",1,"e","grab",476.0022,638248530856204841,638248530860964863,"Regular Blue CubeClone123 was picked up","Blue"
"P6","solo",1,"e","grab",307.0426,638248530897217951,638248530900288377,"Regular Red CubeClone128 was picked up","Red"
"P6","solo",1,"e","grab",207.5445,638248530925312876,638248530927388321,"Regular Blue CubeClone131 was picked up","Blue"
"P6","solo",1,"e","grab",261.0012,638248530955842982,638248530958452994,"Regular Red CubeClone138 was picked up","Red"
"P6","solo",1,"e","grab",107.968,638248531140550412,638248531141630092,"Regular Gold CubeClone59 was picked up","Gold"
"P6","solo",1,"e","grab",107.968,638248531140550412,638248531141630092,"Regular Gold CubeClone59 was picked up","Gold"
"P6","solo",1,"e","grab",329.0033,638248531165430158,638248531168720191,"Regular Blue CubeClone165 was picked up","Blue"
"P6","solo",1,"e","grab",552.3873,638248531202857390,638248531208381263,"Regular Red CubeClone169 was picked up","Red"
"P6","solo",1,"e","grab",85.8181,638248531235243366,638248531236101547,"Regular Red CubeClone172 was picked up","Red"
"P6","solo",1,"e","grab",420.5138,638248531260380220,638248531264585358,"Regular Red CubeClone175 was picked up","Red"
"P6","solo",1,"e","grab",151.0006,638248531295594943,638248531297104949,"Regular Red CubeClone179 was picked up","Red"
"P6","solo",1,"e","grab",230.0032,638248531325914925,638248531328214957,"Regular Red CubeClone183 was picked up","Red"
"P6","solo",1,"e","grab",835.2234,638248531373673878,638248531382026112,"Regular Blue CubeClone193 was picked up","Blue"
"P6","solo",1,"e","grab",140.9096,638248531429657670,638248531431066766,"Regular Blue CubeClone199 was picked up","Blue"
"P6","solo",1,"e","grab",420.9851,638248531499589022,638248531503798873,"Regular Blue CubeClone209 was picked up","Blue"
"P6","solo",1,"e","grab",240.9735,638248531536371938,638248531538781673,"Regular Neutral CubeClone218 was picked up","White"
"P6","solo",1,"e","grab",641.9258,638248531596443648,638248531602862906,"Regular Gold CubeClone167 was picked up","Gold"
"P6","solo",1,"e","grab",641.9258,638248531596443648,638248531602862906,"Regular Gold CubeClone167 was picked up","Gold"
"P6","solo",1,"e","grab",186.0722,638248531650325265,638248531652185987,"Regular Neutral CubeClone233 was picked up","White"
"P6","solo",1,"e","grab",363.2617,638248531674864598,638248531678497215,"Regular Blue CubeClone232 was picked up","Blue"
"P6","solo",1,"e","grab",340.8641,638248531706626578,638248531710035219,"Regular Neutral CubeClone242 was picked up","White"
"P6","solo",1,"e","grab",239.9094,638248531767837519,638248531770236613,"Regular Blue CubeClone249 was picked up","Blue"
"P6","solo",1,"e","grab",263.0005,638248531813804960,638248531816434965,"Regular Neutral CubeClone257 was picked up","White"
"P6","solo",1,"e","grab",396.9158,638248531856785772,638248531860754930,"Regular Gold CubeClone231 was picked up","Gold"
"P6","solo",1,"e","grab",396.9158,638248531856785772,638248531860754930,"Regular Gold CubeClone231 was picked up","Gold"
"P6","solo",1,"e","grab",473.9326,638248531898318986,638248531903058312,"Regular Red CubeClone268 was picked up","Red"
"P6","solo",1,"e","grab",263.0031,638248532018484205,638248532021114236,"Regular Red CubeClone283 was picked up","Red"
"P6","solo",1,"e","grab",627.0019,638248532064921984,638248532071192003,"Regular Gold CubeClone267 was picked up","Gold"
"P6","solo",1,"e","grab",584.0013,638248532105452114,638248532111292127,"Regular Neutral CubeClone297 was picked up","White"
"P6","solo",1,"e","grab",352.4712,638248532170314411,638248532173839123,"Regular Red CubeClone305 was picked up","Red"
"P6","solo",1,"e","grab",139.0021,638248532198095312,638248532199485333,"Regular Gold CubeClone296 was picked up","Gold"
"P6","solo",1,"e","grab",139.0021,638248532198095312,638248532199485333,"Regular Gold CubeClone296 was picked up","Gold"
"P6","solo",1,"e","grab",341.0028,638248532220275382,638248532223685410,"Regular Blue CubeClone309 was picked up","Blue"
"P6","solo",1,"e","grab",216.0015,638248532252625482,638248532254785497,"Regular Blue CubeClone312 was picked up","Blue"
"P6","solo",1,"e","grab",140.001,638248532459518752,638248532460918762,"Regular Gold CubeClone314 was picked up","Gold"
"P6","solo",1,"e","grab",140.001,638248532459518752,638248532460918762,"Regular Gold CubeClone314 was picked up","Gold"
"P6","solo",1,"e","grab",229.3588,638248532502942514,638248532505236102,"Regular Neutral CubeClone353 was picked up","White"
"P6","solo",1,"e","grab",306.0006,638248532534264512,638248532537324518,"Regular Neutral CubeClone355 was picked up","White"
"P6","solo",1,"e","grab",439.0263,638248532593899928,638248532598290191,"Regular Blue CubeClone364 was picked up","Blue"
"P6","solo",1,"e","grab",30.0006,638248532634663596,638248532634963602,"Regular Neutral CubeClone369 was picked up","White"
"P6","solo",1,"e","grab",214.001,638248532649528319,638248532651668329,"Regular Neutral CubeClone372 was picked up","White"
"P6","solo",1,"e","grab",457.8292,638248532665302941,638248532669881233,"Regular Gold CubeClone350 was picked up","Gold"
"P6","solo",1,"e","grab",457.8292,638248532665302941,638248532669881233,"Regular Gold CubeClone350 was picked up","Gold"
"P6","solo",1,"e","grab",251.0004,638248532707615655,638248532710125659,"Regular Neutral CubeClone381 was picked up","White"
"P6","solo",1,"e","grab",241.9997,638248532766025733,638248532768445730,"Regular Red CubeClone387 was picked up","Red"
"P6","solo",1,"e","grab",96.001,638248532793031655,638248532793991665,"Regular Gold CubeClone389 was picked up","Gold"
"P6","solo",1,"e","grab",96.001,638248532793031655,638248532793991665,"Regular Gold CubeClone389 was picked up","Gold"
"P6","solo",1,"e","grab",132.0014,638248532825871519,638248532827191533,"Regular Blue CubeClone392 was picked up","Blue"
"P6","solo",1,"e","grab",142.1104,638248532856334362,638248532857755466,"Regular Blue CubeClone400 was picked up","Blue"
"P6","solo",1,"e","grab",73.5176,638248532897096402,638248532897831578,"Regular Gold CubeClone397 was picked up","Gold"
"P6","solo",1,"e","grab",73.5176,638248532897096402,638248532897831578,"Regular Gold CubeClone397 was picked up","Gold"
"P6","solo",1,"e","grab",18.0002,638248532918841791,638248532919021793,"Regular Gold CubeClone411 was picked up","Gold"
"P6","solo",1,"e","grab",18.0002,638248532918841791,638248532919021793,"Regular Gold CubeClone411 was picked up","Gold"
"P6","solo",1,"e","place",1003.0026,638248530742504500,638248530752534526,"Regular Blue CubeClone106was dropped in DropzonePlaceHolderClone5","Blue"
"P6","solo",1,"e","place",951.0027,638248530805034690,638248530814544717,"Regular Neutral CubeClone117was dropped in DropzonePlaceHolderClone3","White"
"P6","solo",1,"e","place",649.0024,638248530841694793,638248530848184817,"Regular Red CubeClone120was dropped in DropzonePlaceHolderClone1","Red"
"P6","solo",1,"e","place",721.0027,638248530867554872,638248530874764899,"Regular Blue CubeClone123was dropped in DropzonePlaceHolderClone2","Blue"
"P6","solo",1,"e","place",694.817,638248530907323208,638248530914271378,"Regular Red CubeClone128was dropped in DropzonePlaceHolderClone3","Red"
"P6","solo",1,"e","place",777.3028,638248530933780162,638248530941553190,"Regular Blue CubeClone131was dropped in DropzonePlaceHolderClone4","Blue"
"P6","solo",1,"e","place",1045.0041,638248530965023004,638248530975473045,"Regular Red CubeClone138was dropped in DropzonePlaceHolderClone5","Red"
"P6","solo",1,"e","place",648.0022,638248531147770106,638248531154250128,"Regular Gold CubeClone59was dropped in DropzonePlaceHolderClone3","Gold"
"P6","solo",1,"e","place",486.003,638248531175920180,638248531180780210,"Regular Blue CubeClone165was dropped in DropzonePlaceHolderClone5","Blue"
"P6","solo",1,"e","place",708.4691,638248531241028538,638248531248113229,"Regular Red CubeClone172was dropped in DropzonePlaceHolderClone1","Red"
"P6","solo",1,"e","place",560.5936,638248531276381306,638248531281987242,"Regular Red CubeClone175was dropped in DropzonePlaceHolderClone2","Red"
"P6","solo",1,"e","place",893.7721,638248531303698157,638248531312635878,"Regular Red CubeClone179was dropped in DropzonePlaceHolderClone1","Red"
"P6","solo",1,"e","place",650.8964,638248531334904974,638248531341413938,"Regular Red CubeClone183was dropped in DropzonePlaceHolderClone1","Red"
"P6","solo",1,"e","place",682.0029,638248531437506983,638248531444327012,"Regular Blue CubeClone199was dropped in DropzonePlaceHolderClone5","Blue"
